logger,port,datetime,timestamp_utc,tz_offset,parameter,value,units,error_flag,error_description
z6-18394,_port1,2025-02-06T09:45:00Z,1738835100,-18000,weighted_ec,0.993, mS/cm,FALSE,NA
z6-18394,_port1,2025-02-06T09:45:00Z,1738835100,-18000,water_temperature,3.6, °C,FALSE,NA
z6-18394,_port1,2025-02-06T10:00:00Z,1738836000,-18000,ec,0.989, mS/cm,FALSE,NA
z6-18394,_port1,2025-02-06T10:00:00Z,1738836000,-18000,weighted_ec,0.989, mS/cm,FALSE,NA
z6-18394,_port1,2025-02-06T10:00:00Z,1738836000,-18000,water_temperature,3.6, °C,FALSE,NA
z6-18394,_port1,2025-02-06T10:15:00Z,1738836900,-18000,ec,0.991, mS/cm,FALSE,NA
z6-18394,_port1,2025-02-06T10:15:00Z,1738836900,-18000,weighted_ec,0.991, mS/cm,FALSE,NA
z6-18394,_port1,2025-02-06T10:15:00Z,1738836900,-18000,water_temperature,3.6, °C,FALSE,NA
z6-18394,_port1,2025-02-06T10:30:00Z,1738837800,-18000,ec,0.993, mS/cm,FALSE,NA
z6-18394,_port1,2025-02-06T10:30:00Z,1738837800,-18000,weighted_ec,0.993, mS/cm,FALSE,NA
z6-18394,_port1,2025-02-06T10:30:00Z,1738837800,-18000,water_temperature,3.6, °C,FALSE,NA
z6-18394,_port1,2025-02-06T10:45:00Z,1738838700,-18000,ec,0.993, mS/cm,FALSE,NA
z6-18394,_port1,2025-02-06T10:45:00Z,1738838700,-18000,weighted_ec,0.993, mS/cm,FALSE,NA
z6-18394,_port1,2025-02-06T10:45:00Z,1738838700,-18000,water_temperature,3.6, °C,FALSE,NA
z6-18394,_port1,2025-02-06T11:00:00Z,1738839600,-18000,ec,0.993, mS/cm,FALSE,NA
z6-18394,_port1,2025-02-06T11:00:00Z,1738839600,-18000,weighted_ec,0.993, mS/cm,FALSE,NA
z6-18394,_port1,2025-02-06T11:00:00Z,1738839600,-18000,water_temperature,3.6, °C,FALSE,NA
z6-18394,_port1,2025-02-06T11:15:00Z,1738840500,-18000,ec,0.995, mS/cm,FALSE,NA
z6-18394,_port1,2025-02-06T11:15:00Z,1738840500,-18000,weighted_ec,0.995, mS/cm,FALSE,NA
z6-18394,_port1,2025-02-06T11:15:00Z,1738840500,-18000,water_temperature,3.6, °C,FALSE,NA
z6-18394,_port1,2025-02-06T11:30:00Z,1738841400,-18000,ec,0.995, mS/cm,FALSE,NA
z6-18394,_port1,2025-02-06T11:30:00Z,1738841400,-18000,weighted_ec,0.995, mS/cm,FALSE,NA
z6-18394,_port1,2025-02-06T11:30:00Z,1738841400,-18000,water_temperature,3.6, °C,FALSE,NA
z6-18394,_port1,2025-02-06T11:45:00Z,1738842300,-18000,ec,0.995, mS/cm,FALSE,NA
z6-18394,_port1,2025-02-06T11:45:00Z,1738842300,-18000,weighted_ec,0.995, mS/cm,FALSE,NA
z6-18394,_port1,2025-02-06T11:45:00Z,1738842300,-18000,water_temperature,3.6, °C,FALSE,NA
z6-18394,_port1,2025-02-06T12:00:00Z,1738843200,-18000,ec,0.995, mS/cm,FALSE,NA
z6-18394,_port1,2025-02-06T12:00:00Z,1738843200,-18000,weighted_ec,0.995, mS/cm,FALSE,NA
z6-18394,_port1,2025-02-06T12:00:00Z,1738843200,-18000,water_temperature,3.6, °C,FALSE,NA
z6-18394,_port1,2025-02-06T12:15:00Z,1738844100,-18000,ec,0.995, mS/cm,FALSE,NA
z6-18394,_port1,2025-02-06T12:15:00Z,1738844100,-18000,weighted_ec,0.995, mS/cm,FALSE,NA
z6-18394,_port1,2025-02-06T12:15:00Z,1738844100,-18000,water_temperature,3.6, °C,FALSE,NA
z6-18394,_port1,2025-02-06T12:30:00Z,1738845000,-18000,ec,0.995, mS/cm,FALSE,NA
z6-18394,_port1,2025-02-06T12:30:00Z,1738845000,-18000,weighted_ec,0.995, mS/cm,FALSE,NA
z6-18394,_port1,2025-02-06T12:30:00Z,1738845000,-18000,water_temperature,3.6, °C,FALSE,NA
z6-18394,_port1,2025-02-06T13:15:00Z,1738847700,-18000,ec,1, mS/cm,FALSE,NA
z6-18394,_port1,2025-02-06T13:15:00Z,1738847700,-18000,weighted_ec,1, mS/cm,FALSE,NA
z6-18394,_port1,2025-02-06T13:15:00Z,1738847700,-18000,water_temperature,3.6, °C,FALSE,NA
z6-18394,_port1,2025-02-06T13:30:00Z,1738848600,-18000,ec,1, mS/cm,FALSE,NA
z6-18394,_port1,2025-02-06T13:30:00Z,1738848600,-18000,weighted_ec,1, mS/cm,FALSE,NA
z6-18394,_port1,2025-02-06T13:30:00Z,1738848600,-18000,water_temperature,3.6, °C,FALSE,NA
