z6-14347,Port1,Port1,Port7,Port7,Port8,Port8
# Records: 1,TEROS 11 Moisture/Temp,TEROS 11 Moisture/Temp,Battery,Battery,Barometer,Barometer
Timestamps, m3/m3 Water Content, degree_C Soil Temperature,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, degree_C Logger Temperature
07/20/2022 11:30:00 AM,0.257,30.6,100,8191,99.95,38.0
