z6-18394,Port7,Port7,Port8,Port8
# Records: 2,Battery,Battery,Barometer,Barometer
Timestamps,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, degree_C Logger Temperature
08/25/2022 04:15:00 PM,97,7783,101.38,26.0
08/25/2022 04:30:00 PM,100,7874,101.32,33.1
