z6-14355,Port1,Port1,Port7,Port7,Port8,Port8
# Records: 1,TEROS 11 Moisture/Temp,TEROS 11 Moisture/Temp,Battery,Battery,Barometer,Barometer
Timestamps, m3/m3 Water Content, degree_C Soil Temperature,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, degree_C Logger Temperature
07/21/2022 09:00:00 AM,0.297,27.2,100,8106,99.55,27.0
