z6-14355,Port7,Port7,Port8,Port8
# Records: 566,Battery,Battery,Barometer,Barometer
Timestamps,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, degree_C Logger Temperature
07/16/2022 02:15:00 PM,100,8106,101.09,38.9
07/16/2022 02:30:00 PM,100,8096,101.08,37.6
07/16/2022 02:45:00 PM,100,8099,101.08,35.2
07/16/2022 03:00:00 PM,100,8112,101.06,35.1
07/16/2022 03:15:00 PM,100,8113,101.05,36.5
07/16/2022 03:30:00 PM,100,8121,101.03,37.0
07/16/2022 03:45:00 PM,100,8118,101.01,37.4
07/16/2022 04:00:00 PM,100,8110,101.01,35.6
07/16/2022 04:15:00 PM,100,8108,100.99,33.2
07/16/2022 04:30:00 PM,100,8104,100.97,31.8
07/16/2022 04:45:00 PM,100,8099,100.95,30.8
07/16/2022 05:00:00 PM,100,8096,100.94,29.8
07/16/2022 05:15:00 PM,100,8104,100.91,29.5
07/16/2022 05:30:00 PM,100,8108,100.88,30.8
07/16/2022 05:45:00 PM,100,8115,100.86,32.3
07/16/2022 06:00:00 PM,100,8116,100.84,32.3
07/16/2022 06:15:00 PM,100,8117,100.83,31.7
07/16/2022 06:30:00 PM,100,8115,100.82,31.8
07/16/2022 06:45:00 PM,100,8112,100.82,30.9
07/16/2022 07:00:00 PM,100,8110,100.82,30.3
07/16/2022 07:15:00 PM,100,8108,100.83,29.7
07/16/2022 07:30:00 PM,100,8105,100.84,28.8
07/16/2022 07:45:00 PM,100,8102,100.84,27.6
07/16/2022 08:00:00 PM,100,8098,100.85,26.1
07/16/2022 08:15:00 PM,100,8098,100.85,24.9
07/16/2022 08:30:00 PM,100,8095,100.87,23.9
07/16/2022 08:45:00 PM,100,8094,100.88,22.9
07/16/2022 09:00:00 PM,100,8092,100.9,22.1
07/16/2022 09:15:00 PM,100,8091,100.93,21.5
07/16/2022 09:30:00 PM,100,8088,100.95,21.0
07/16/2022 09:45:00 PM,100,8086,100.97,20.6
07/16/2022 10:00:00 PM,100,8085,101.0,20.0
07/16/2022 10:15:00 PM,100,8083,101.01,19.6
07/16/2022 10:30:00 PM,100,8082,101.02,19.1
07/16/2022 10:45:00 PM,100,8082,101.02,18.7
07/16/2022 11:00:00 PM,100,8083,101.02,18.2
07/16/2022 11:15:00 PM,100,8081,101.02,17.9
07/16/2022 11:30:00 PM,100,8084,101.02,17.7
07/16/2022 11:45:00 PM,100,8081,101.02,17.5
07/17/2022 12:00:00 AM,100,8080,101.03,17.3
07/17/2022 12:15:00 AM,100,8073,101.04,17.3
07/17/2022 12:30:00 AM,100,8072,101.04,17.1
07/17/2022 12:45:00 AM,100,8076,101.04,16.9
07/17/2022 01:00:00 AM,100,8075,101.04,16.7
07/17/2022 01:15:00 AM,100,8076,101.05,16.5
07/17/2022 01:30:00 AM,100,8075,101.05,16.3
07/17/2022 01:45:00 AM,100,8074,101.04,16.1
07/17/2022 02:00:00 AM,100,8074,101.03,15.9
07/17/2022 02:15:00 AM,100,8072,101.02,15.7
07/17/2022 02:30:00 AM,100,8073,101.02,15.6
07/17/2022 02:45:00 AM,100,8070,101.03,15.4
07/17/2022 03:00:00 AM,100,8072,101.04,15.4
07/17/2022 03:15:00 AM,100,8072,101.04,15.3
07/17/2022 03:30:00 AM,100,8072,101.03,15.2
07/17/2022 03:45:00 AM,100,8072,101.03,15.0
07/17/2022 04:00:00 AM,100,8072,101.03,15.0
07/17/2022 04:15:00 AM,100,8071,101.03,14.8
07/17/2022 04:30:00 AM,100,8071,101.02,14.6
07/17/2022 04:45:00 AM,100,8069,101.02,14.4
07/17/2022 05:00:00 AM,100,8070,101.02,14.3
07/17/2022 05:15:00 AM,100,8067,101.03,14.2
07/17/2022 05:30:00 AM,100,8068,101.04,14.2
07/17/2022 05:45:00 AM,100,8067,101.04,14.1
07/17/2022 06:00:00 AM,100,8067,101.04,14.0
07/17/2022 06:15:00 AM,100,8067,101.05,14.0
07/17/2022 06:30:00 AM,100,8067,101.07,14.1
07/17/2022 06:45:00 AM,100,8064,101.08,14.3
07/17/2022 07:00:00 AM,100,8066,101.1,14.6
07/17/2022 07:15:00 AM,100,8065,101.1,15.0
07/17/2022 07:30:00 AM,100,8067,101.1,15.5
07/17/2022 07:45:00 AM,100,8065,101.1,16.2
07/17/2022 08:00:00 AM,100,8067,101.11,17.0
07/17/2022 08:15:00 AM,100,8067,101.12,17.8
07/17/2022 08:30:00 AM,100,8067,101.11,18.5
07/17/2022 08:45:00 AM,100,8067,101.1,19.2
07/17/2022 09:00:00 AM,100,8068,101.1,19.8
07/17/2022 09:15:00 AM,100,8070,101.09,20.3
07/17/2022 09:30:00 AM,100,8067,101.09,20.8
07/17/2022 09:45:00 AM,100,8069,101.08,21.1
07/17/2022 10:00:00 AM,100,8070,101.08,21.4
07/17/2022 10:15:00 AM,100,8070,101.07,21.6
07/17/2022 10:30:00 AM,100,8071,101.05,21.9
07/17/2022 10:45:00 AM,100,8071,101.05,22.4
07/17/2022 11:00:00 AM,100,8076,101.04,22.8
07/17/2022 11:15:00 AM,100,8073,101.03,23.3
07/17/2022 11:30:00 AM,100,8082,101.01,24.3
07/17/2022 11:45:00 AM,100,8099,101.01,25.8
07/17/2022 12:00:00 PM,100,8113,101.0,27.8
07/17/2022 12:15:00 PM,100,8129,100.99,30.5
07/17/2022 12:30:00 PM,100,8141,100.98,33.7
07/17/2022 12:45:00 PM,100,8151,100.97,36.1
07/17/2022 01:00:00 PM,100,8159,100.96,37.8
07/17/2022 01:15:00 PM,100,8165,100.96,39.4
07/17/2022 01:30:00 PM,100,8168,100.95,40.9
07/17/2022 01:45:00 PM,100,8172,100.93,41.7
07/17/2022 02:00:00 PM,100,8175,100.93,42.3
07/17/2022 02:15:00 PM,100,8173,100.92,42.2
07/17/2022 02:30:00 PM,100,8177,100.92,43.1
07/17/2022 02:45:00 PM,100,8176,100.92,44.3
07/17/2022 03:00:00 PM,100,8178,100.91,45.0
07/17/2022 03:15:00 PM,100,8174,100.89,45.4
07/17/2022 03:30:00 PM,100,8178,100.89,45.1
07/17/2022 03:45:00 PM,100,8175,100.88,45.4
07/17/2022 04:00:00 PM,100,8175,100.86,45.4
07/17/2022 04:15:00 PM,100,8169,100.85,44.9
07/17/2022 04:30:00 PM,100,8172,100.85,44.5
07/17/2022 04:45:00 PM,100,8171,100.84,43.9
07/17/2022 05:00:00 PM,100,8169,100.85,43.8
07/17/2022 05:15:00 PM,100,8168,100.84,43.3
07/17/2022 05:30:00 PM,100,8167,100.81,42.5
07/17/2022 05:45:00 PM,100,8162,100.8,41.1
07/17/2022 06:00:00 PM,100,8160,100.78,39.8
07/17/2022 06:15:00 PM,100,8157,100.78,38.4
07/17/2022 06:30:00 PM,100,8150,100.77,37.0
07/17/2022 06:45:00 PM,100,8148,100.76,35.6
07/17/2022 07:00:00 PM,100,8139,100.75,34.3
07/17/2022 07:15:00 PM,100,8134,100.76,32.8
07/17/2022 07:30:00 PM,100,8131,100.76,31.4
07/17/2022 07:45:00 PM,100,8126,100.76,30.1
07/17/2022 08:00:00 PM,100,8123,100.76,28.7
07/17/2022 08:15:00 PM,100,8121,100.77,27.2
07/17/2022 08:30:00 PM,100,8121,100.79,25.8
07/17/2022 08:45:00 PM,100,8113,100.8,24.4
07/17/2022 09:00:00 PM,100,8115,100.8,23.2
07/17/2022 09:15:00 PM,100,8111,100.81,22.1
07/17/2022 09:30:00 PM,100,8109,100.83,21.2
07/17/2022 09:45:00 PM,100,8105,100.85,20.4
07/17/2022 10:00:00 PM,100,8108,100.85,19.9
07/17/2022 10:15:00 PM,100,8106,100.86,19.5
07/17/2022 10:30:00 PM,100,8104,100.87,19.0
07/17/2022 10:45:00 PM,100,8105,100.88,18.6
07/17/2022 11:00:00 PM,100,8100,100.89,18.3
07/17/2022 11:15:00 PM,100,8101,100.91,18.0
07/17/2022 11:30:00 PM,100,8100,100.91,17.8
07/17/2022 11:45:00 PM,100,8100,100.91,17.5
07/18/2022 12:00:00 AM,100,8101,100.91,17.3
07/18/2022 12:15:00 AM,100,8095,100.92,17.1
07/18/2022 12:30:00 AM,100,8097,100.92,16.9
07/18/2022 12:45:00 AM,100,8092,100.92,16.7
07/18/2022 01:00:00 AM,100,8093,100.92,16.5
07/18/2022 01:15:00 AM,100,8094,100.91,16.4
07/18/2022 01:30:00 AM,100,8092,100.91,16.3
07/18/2022 01:45:00 AM,100,8090,100.91,16.2
07/18/2022 02:00:00 AM,100,8093,100.91,16.2
07/18/2022 02:15:00 AM,100,8093,100.9,16.1
07/18/2022 02:30:00 AM,100,8090,100.9,16.1
07/18/2022 02:45:00 AM,100,8093,100.9,16.2
07/18/2022 03:00:00 AM,100,8092,100.88,16.2
07/18/2022 03:15:00 AM,100,8093,100.88,16.1
07/18/2022 03:30:00 AM,100,8093,100.89,16.2
07/18/2022 03:45:00 AM,100,8092,100.87,16.2
07/18/2022 04:00:00 AM,100,8089,100.86,16.2
07/18/2022 04:15:00 AM,100,8093,100.86,16.2
07/18/2022 04:30:00 AM,100,8090,100.86,16.2
07/18/2022 04:45:00 AM,100,8086,100.86,16.2
07/18/2022 05:00:00 AM,100,8088,100.86,16.3
07/18/2022 05:15:00 AM,100,8084,100.86,16.3
07/18/2022 05:30:00 AM,100,8086,100.86,16.4
07/18/2022 05:45:00 AM,100,8089,100.86,16.6
07/18/2022 06:00:00 AM,100,8084,100.86,16.8
07/18/2022 06:15:00 AM,100,8086,100.86,17.0
07/18/2022 06:30:00 AM,100,8087,100.87,17.2
07/18/2022 06:45:00 AM,100,8085,100.87,17.6
07/18/2022 07:00:00 AM,100,8082,100.86,18.0
07/18/2022 07:15:00 AM,100,8085,100.85,18.4
07/18/2022 07:30:00 AM,100,8085,100.83,18.9
07/18/2022 07:45:00 AM,100,8087,100.84,19.6
07/18/2022 08:00:00 AM,100,8086,100.83,20.3
07/18/2022 08:15:00 AM,100,8089,100.81,20.9
07/18/2022 08:30:00 AM,100,8091,100.8,21.5
07/18/2022 08:45:00 AM,100,8091,100.79,21.9
07/18/2022 09:00:00 AM,100,8091,100.78,22.2
07/18/2022 09:15:00 AM,100,8094,100.75,22.6
07/18/2022 09:30:00 AM,100,8096,100.74,22.6
07/18/2022 09:45:00 AM,100,8095,100.74,22.8
07/18/2022 10:00:00 AM,100,8099,100.72,23.4
07/18/2022 10:15:00 AM,100,8096,100.7,23.9
07/18/2022 10:30:00 AM,100,8098,100.69,24.1
07/18/2022 10:45:00 AM,100,8105,100.68,24.4
07/18/2022 11:00:00 AM,100,8102,100.67,24.6
07/18/2022 11:15:00 AM,100,8101,100.67,24.3
07/18/2022 11:30:00 AM,100,8099,100.67,24.0
07/18/2022 11:45:00 AM,100,8101,100.66,23.8
07/18/2022 12:00:00 PM,100,8101,100.64,23.6
07/18/2022 12:15:00 PM,100,8097,100.62,23.5
07/18/2022 12:30:00 PM,100,8096,100.59,23.4
07/18/2022 12:45:00 PM,100,8097,100.57,23.5
07/18/2022 01:00:00 PM,100,8098,100.55,23.5
07/18/2022 01:15:00 PM,100,8099,100.51,23.4
07/18/2022 01:30:00 PM,100,8095,100.46,23.5
07/18/2022 01:45:00 PM,100,8094,100.41,23.7
07/18/2022 02:00:00 PM,100,8095,100.36,23.6
07/18/2022 02:15:00 PM,100,8098,100.3,23.5
07/18/2022 02:30:00 PM,100,8098,100.25,23.6
07/18/2022 02:45:00 PM,100,8099,100.22,23.8
07/18/2022 03:00:00 PM,100,8100,100.21,23.8
07/18/2022 03:15:00 PM,100,8105,100.18,23.9
07/18/2022 03:30:00 PM,100,8107,100.17,24.3
07/18/2022 03:45:00 PM,100,8104,100.16,24.6
07/18/2022 04:00:00 PM,100,8105,100.14,24.8
07/18/2022 04:15:00 PM,100,8104,100.12,24.8
07/18/2022 04:30:00 PM,100,8104,100.08,24.5
07/18/2022 04:45:00 PM,100,8106,100.04,24.2
07/18/2022 05:00:00 PM,100,8102,100.01,24.0
07/18/2022 05:15:00 PM,100,8102,99.98,24.0
07/18/2022 05:30:00 PM,100,8099,99.95,24.0
07/18/2022 05:45:00 PM,100,8102,99.93,24.1
07/18/2022 06:00:00 PM,100,8097,99.91,24.1
07/18/2022 06:15:00 PM,100,8096,99.89,23.9
07/18/2022 06:30:00 PM,100,8093,99.85,23.8
07/18/2022 06:45:00 PM,100,8096,99.81,23.5
07/18/2022 07:00:00 PM,100,8096,99.83,23.4
07/18/2022 07:15:00 PM,100,8092,99.82,23.3
07/18/2022 07:30:00 PM,100,8092,99.8,23.3
07/18/2022 07:45:00 PM,100,8090,99.79,23.3
07/18/2022 08:00:00 PM,100,8086,99.77,23.2
07/18/2022 08:15:00 PM,100,8092,99.77,23.0
07/18/2022 08:30:00 PM,100,8086,99.76,22.9
07/18/2022 08:45:00 PM,100,8086,99.76,22.8
07/18/2022 09:00:00 PM,100,8085,99.74,22.7
07/18/2022 09:15:00 PM,100,8086,99.71,22.6
07/18/2022 09:30:00 PM,100,8084,99.69,22.5
07/18/2022 09:45:00 PM,100,8080,99.68,22.4
07/18/2022 10:00:00 PM,100,8082,99.69,22.3
07/18/2022 10:15:00 PM,100,8080,99.67,22.2
07/18/2022 10:30:00 PM,100,8075,99.66,22.2
07/18/2022 10:45:00 PM,100,8077,99.63,22.2
07/18/2022 11:00:00 PM,100,8077,99.62,22.2
07/18/2022 11:15:00 PM,100,8076,99.6,22.2
07/18/2022 11:30:00 PM,100,8074,99.57,22.1
07/18/2022 11:45:00 PM,100,8074,99.56,22.0
07/19/2022 12:00:00 AM,100,8074,99.56,21.9
07/19/2022 12:15:00 AM,100,8066,99.57,21.9
07/19/2022 12:30:00 AM,100,8064,99.56,21.7
07/19/2022 12:45:00 AM,100,8064,99.57,21.4
07/19/2022 01:00:00 AM,100,8067,99.57,21.2
07/19/2022 01:15:00 AM,100,8065,99.59,21.1
07/19/2022 01:30:00 AM,100,8067,99.57,21.1
07/19/2022 01:45:00 AM,100,8067,99.57,21.1
07/19/2022 02:00:00 AM,100,8066,99.56,21.1
07/19/2022 02:15:00 AM,100,8065,99.56,21.0
07/19/2022 02:30:00 AM,100,8065,99.56,21.1
07/19/2022 02:45:00 AM,100,8064,99.57,21.1
