z6-14347,,Port7,Port7,Port8,Port8, 
# Records: 480,,Battery,Battery,Barometer,Barometer, 
Timestamps,Device RID,raw  Battery Percent,raw  Battery Voltage,raw  Reference Pressure,raw  Logger Temperature,UTC Offset
07/15/2022 03:15:00 PM,2,2092,7740,10148,8208,Not Set
07/15/2022 03:30:00 PM,3,2095,7766,10146,8282,Not Set
07/15/2022 03:45:00 PM,4,2098,7791,10145,8399,Not Set
07/15/2022 04:00:00 PM,5,2100,7814,10143,8536,Not Set
07/15/2022 12:30:00 PM,6,2100,7834,10141,8609,UTC-04:00
07/15/2022 12:45:00 PM,7,2100,7858,10141,8679,UTC-04:00
07/15/2022 01:00:00 PM,8,2100,7878,10140,8751,UTC-04:00
07/15/2022 01:15:00 PM,9,2100,7896,10140,8799,UTC-04:00
07/15/2022 01:30:00 PM,10,2100,7912,10139,8859,UTC-04:00
07/15/2022 01:45:00 PM,11,2100,7929,10139,8918,UTC-04:00
07/15/2022 02:00:00 PM,12,2100,7945,10139,8973,UTC-04:00
07/15/2022 02:15:00 PM,13,2100,7957,10138,9078,UTC-04:00
07/15/2022 02:30:00 PM,14,2100,7972,10138,9110,UTC-04:00
07/15/2022 02:45:00 PM,15,2100,7979,10138,9098,UTC-04:00
07/15/2022 03:00:00 PM,16,2100,7987,10137,8920,UTC-04:00
07/15/2022 03:15:00 PM,17,2100,7987,10136,8824,UTC-04:00
07/15/2022 03:30:00 PM,18,2100,7985,10136,8575,UTC-04:00
07/15/2022 03:45:00 PM,19,2100,7997,10136,8569,UTC-04:00
07/15/2022 04:00:00 PM,20,2100,7998,10136,8591,UTC-04:00
07/15/2022 04:15:00 PM,21,2100,7995,10136,8405,UTC-04:00
07/15/2022 04:30:00 PM,22,2100,7997,10134,8282,UTC-04:00
07/15/2022 04:45:00 PM,23,2100,8001,10135,8219,UTC-04:00
07/15/2022 05:00:00 PM,24,2100,8005,10135,8215,UTC-04:00
07/15/2022 05:15:00 PM,25,2100,8003,10135,8128,UTC-04:00
07/15/2022 05:30:00 PM,26,2100,8000,10134,7998,UTC-04:00
07/15/2022 05:45:00 PM,27,2100,8014,10132,8005,UTC-04:00
07/15/2022 06:00:00 PM,28,2100,8019,10132,8223,UTC-04:00
07/15/2022 06:15:00 PM,29,2100,8021,10133,8362,UTC-04:00
07/15/2022 06:30:00 PM,30,2100,8022,10133,8388,UTC-04:00
07/15/2022 06:45:00 PM,31,2100,8022,10133,8339,UTC-04:00
07/15/2022 07:00:00 PM,32,2100,8024,10131,8280,UTC-04:00
07/15/2022 07:15:00 PM,33,2100,8020,10130,8198,UTC-04:00
07/15/2022 07:30:00 PM,34,2100,8019,10131,8084,UTC-04:00
07/15/2022 07:45:00 PM,35,2100,8017,10131,7889,UTC-04:00
07/15/2022 08:00:00 PM,36,2100,8014,10131,7676,UTC-04:00
07/15/2022 08:15:00 PM,37,2100,8014,10131,7475,UTC-04:00
07/15/2022 08:30:00 PM,38,2100,8012,10131,7294,UTC-04:00
07/15/2022 08:45:00 PM,39,2100,8011,10132,7127,UTC-04:00
07/15/2022 09:00:00 PM,40,2100,8008,10132,6976,UTC-04:00
07/15/2022 09:15:00 PM,41,2100,8007,10134,6858,UTC-04:00
07/15/2022 09:30:00 PM,42,2100,8006,10136,6763,UTC-04:00
07/15/2022 09:45:00 PM,43,2100,8003,10137,6684,UTC-04:00
07/15/2022 10:00:00 PM,44,2100,8003,10139,6630,UTC-04:00
07/15/2022 10:15:00 PM,45,2100,8000,10140,6580,UTC-04:00
07/15/2022 10:30:00 PM,46,2100,8003,10141,6540,UTC-04:00
07/15/2022 10:45:00 PM,47,2100,8002,10141,6511,UTC-04:00
07/15/2022 11:00:00 PM,48,2100,8004,10141,6477,UTC-04:00
07/15/2022 11:15:00 PM,49,2100,8002,10141,6452,UTC-04:00
07/15/2022 11:30:00 PM,50,2100,8004,10142,6438,UTC-04:00
07/15/2022 11:45:00 PM,51,2100,8001,10144,6427,UTC-04:00
07/16/2022 12:00:00 AM,52,2100,8002,10145,6406,UTC-04:00
07/16/2022 12:15:00 AM,54,2100,7997,10145,6416,UTC-04:00
07/16/2022 12:30:00 AM,55,2100,7996,10145,6436,UTC-04:00
07/16/2022 12:45:00 AM,56,2100,7995,10144,6453,UTC-04:00
07/16/2022 01:00:00 AM,57,2100,7998,10145,6452,UTC-04:00
07/16/2022 01:15:00 AM,58,2100,7996,10144,6458,UTC-04:00
07/16/2022 01:30:00 AM,59,2100,7995,10143,6458,UTC-04:00
07/16/2022 01:45:00 AM,60,2100,7994,10142,6421,UTC-04:00
07/16/2022 02:00:00 AM,61,2100,7997,10143,6383,UTC-04:00
07/16/2022 02:15:00 AM,62,2100,7995,10142,6354,UTC-04:00
07/16/2022 02:30:00 AM,63,2100,7995,10143,6336,UTC-04:00
07/16/2022 02:45:00 AM,64,2100,7994,10143,6317,UTC-04:00
07/16/2022 03:00:00 AM,65,2100,7993,10143,6302,UTC-04:00
07/16/2022 03:15:00 AM,66,2100,7994,10143,6294,UTC-04:00
07/16/2022 03:30:00 AM,67,2100,7996,10143,6281,UTC-04:00
07/16/2022 03:45:00 AM,68,2100,7993,10143,6271,UTC-04:00
07/16/2022 04:00:00 AM,69,2100,7993,10142,6266,UTC-04:00
07/16/2022 04:15:00 AM,70,2100,7991,10142,6261,UTC-04:00
07/16/2022 04:30:00 AM,71,2100,7993,10142,6249,UTC-04:00
07/16/2022 04:45:00 AM,72,2100,7994,10143,6222,UTC-04:00
07/16/2022 05:00:00 AM,73,2100,7994,10142,6202,UTC-04:00
07/16/2022 05:15:00 AM,74,2100,7990,10143,6183,UTC-04:00
07/16/2022 05:30:00 AM,75,2100,7992,10143,6180,UTC-04:00
07/16/2022 05:45:00 AM,76,2100,7992,10143,6185,UTC-04:00
07/16/2022 06:00:00 AM,77,2100,7992,10142,6206,UTC-04:00
07/16/2022 06:15:00 AM,78,2100,7991,10142,6222,UTC-04:00
07/16/2022 06:30:00 AM,79,2100,7991,10141,6249,UTC-04:00
07/16/2022 06:45:00 AM,80,2100,7991,10142,6288,UTC-04:00
