z6-14348,Port7,Port7,Port8,Port8
# Records: 486,Battery,Battery,Barometer,Barometer
Timestamps,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, degree_C Logger Temperature
07/15/2022 03:15:00 PM,93,7743,101.5,31.7
07/15/2022 03:30:00 PM,93,7747,101.48,32.3
07/15/2022 03:45:00 PM,93,7748,101.47,33.5
07/15/2022 04:00:00 PM,93,7748,101.45,34.9
07/15/2022 12:30:00 PM,94,7750,101.43,35.7
07/15/2022 12:45:00 PM,93,7749,101.42,36.4
07/15/2022 01:00:00 PM,94,7750,101.42,37.3
07/15/2022 01:15:00 PM,93,7749,101.41,38.1
07/15/2022 01:30:00 PM,94,7754,101.41,38.6
07/15/2022 01:45:00 PM,93,7748,101.41,38.9
07/15/2022 02:00:00 PM,94,7753,101.4,39.2
07/15/2022 02:15:00 PM,94,7752,101.39,40.3
07/15/2022 02:30:00 PM,94,7754,101.39,40.9
07/15/2022 02:45:00 PM,94,7753,101.39,40.8
07/15/2022 03:00:00 PM,94,7751,101.39,39.2
07/15/2022 03:15:00 PM,94,7751,101.38,38.2
07/15/2022 03:30:00 PM,94,7750,101.38,35.6
07/15/2022 03:45:00 PM,93,7747,101.38,35.5
07/15/2022 04:00:00 PM,93,7748,101.38,35.9
07/15/2022 04:15:00 PM,93,7747,101.38,34.0
07/15/2022 04:30:00 PM,93,7744,101.37,32.6
07/15/2022 04:45:00 PM,93,7744,101.37,32.0
07/15/2022 05:00:00 PM,93,7743,101.37,31.9
07/15/2022 05:15:00 PM,92,7740,101.37,31.1
07/15/2022 05:30:00 PM,92,7739,101.36,29.9
07/15/2022 05:45:00 PM,92,7739,101.34,29.8
07/15/2022 06:00:00 PM,93,7742,101.34,31.9
07/15/2022 06:15:00 PM,93,7742,101.35,33.0
07/15/2022 06:30:00 PM,93,7742,101.35,32.9
07/15/2022 06:45:00 PM,92,7739,101.35,32.2
07/15/2022 07:00:00 PM,93,7742,101.33,31.7
07/15/2022 07:15:00 PM,92,7740,101.33,31.0
07/15/2022 07:30:00 PM,92,7738,101.33,30.4
07/15/2022 07:45:00 PM,92,7737,101.34,28.8
07/15/2022 08:00:00 PM,92,7735,101.34,26.7
