z6-14355,,Port7,Port7,Port8,Port8, 
# Records: 566,,Battery,Battery,Barometer,Barometer, 
Timestamps,Device RID,raw  Battery Percent,raw  Battery Voltage,raw  Reference Pressure,raw  Logger Temperature,UTC Offset
07/15/2022 03:15:00 PM,2,2091,7732,10155,7258,Not Set
07/15/2022 03:30:00 PM,3,2094,7756,10153,7433,Not Set
07/15/2022 03:45:00 PM,4,2097,7783,10151,7597,Not Set
07/15/2022 04:00:00 PM,5,2100,7808,10148,7843,Not Set
07/15/2022 12:30:00 PM,6,2100,7828,10146,8071,UTC-04:00
07/15/2022 12:45:00 PM,7,2100,7853,10146,8344,UTC-04:00
07/15/2022 01:00:00 PM,8,2100,7874,10145,8559,UTC-04:00
07/15/2022 01:15:00 PM,9,2100,7896,10145,8713,UTC-04:00
07/15/2022 01:30:00 PM,10,2100,7910,10144,8801,UTC-04:00
07/15/2022 01:45:00 PM,11,2100,7925,10144,8789,UTC-04:00
07/15/2022 02:00:00 PM,12,2100,7946,10144,8785,UTC-04:00
07/15/2022 02:15:00 PM,13,2100,7962,10143,8922,UTC-04:00
07/15/2022 02:30:00 PM,14,2100,7972,10143,9043,UTC-04:00
07/15/2022 02:45:00 PM,15,2100,7984,10143,9136,UTC-04:00
07/15/2022 03:00:00 PM,16,2100,7990,10143,8997,UTC-04:00
07/15/2022 03:15:00 PM,17,2100,7985,10142,8902,UTC-04:00
07/15/2022 03:30:00 PM,18,2100,7982,10142,8618,UTC-04:00
07/15/2022 03:45:00 PM,19,2100,7999,10141,8541,UTC-04:00
07/15/2022 04:00:00 PM,20,2100,7997,10141,8577,UTC-04:00
07/15/2022 04:15:00 PM,21,2100,7991,10141,8382,UTC-04:00
07/15/2022 04:30:00 PM,22,2100,7995,10139,8233,UTC-04:00
07/15/2022 04:45:00 PM,23,2100,8000,10139,8162,UTC-04:00
07/15/2022 05:00:00 PM,24,2100,8002,10139,8157,UTC-04:00
07/15/2022 05:15:00 PM,25,2100,7998,10139,8084,UTC-04:00
07/15/2022 05:30:00 PM,26,2100,8001,10138,7957,UTC-04:00
07/15/2022 05:45:00 PM,27,2100,8007,10136,7900,UTC-04:00
07/15/2022 06:00:00 PM,28,2100,8017,10136,8012,UTC-04:00
07/15/2022 06:15:00 PM,29,2100,8019,10137,8115,UTC-04:00
07/15/2022 06:30:00 PM,30,2100,8020,10138,8147,UTC-04:00
07/15/2022 06:45:00 PM,31,2100,8020,10137,8104,UTC-04:00
07/15/2022 07:00:00 PM,32,2100,8017,10135,8030,UTC-04:00
07/15/2022 07:15:00 PM,33,2100,8014,10135,7938,UTC-04:00
07/15/2022 07:30:00 PM,34,2100,8011,10135,7846,UTC-04:00
07/15/2022 07:45:00 PM,35,2100,8007,10135,7729,UTC-04:00
07/15/2022 08:00:00 PM,36,2100,8006,10136,7591,UTC-04:00
07/15/2022 08:15:00 PM,37,2100,8003,10135,7437,UTC-04:00
07/15/2022 08:30:00 PM,38,2100,8000,10135,7288,UTC-04:00
07/15/2022 08:45:00 PM,39,2100,8003,10135,7149,UTC-04:00
07/15/2022 09:00:00 PM,40,2100,7998,10136,7020,UTC-04:00
07/15/2022 09:15:00 PM,41,2100,7998,10137,6911,UTC-04:00
07/15/2022 09:30:00 PM,42,2100,7992,10139,6820,UTC-04:00
07/15/2022 09:45:00 PM,43,2100,7994,10140,6748,UTC-04:00
07/15/2022 10:00:00 PM,44,2100,7994,10141,6693,UTC-04:00
07/15/2022 10:15:00 PM,45,2100,7992,10143,6643,UTC-04:00
07/15/2022 10:30:00 PM,46,2100,7991,10144,6601,UTC-04:00
07/15/2022 10:45:00 PM,47,2100,7988,10144,6569,UTC-04:00
07/15/2022 11:00:00 PM,48,2100,7990,10143,6536,UTC-04:00
07/15/2022 11:15:00 PM,49,2100,7987,10144,6510,UTC-04:00
07/15/2022 11:30:00 PM,50,2100,7990,10145,6492,UTC-04:00
07/15/2022 11:45:00 PM,51,2100,7988,10147,6477,UTC-04:00
07/16/2022 12:00:00 AM,52,2100,7988,10147,6458,UTC-04:00
07/16/2022 12:15:00 AM,54,2100,7984,10148,6461,UTC-04:00
07/16/2022 12:30:00 AM,55,2100,7984,10148,6471,UTC-04:00
07/16/2022 12:45:00 AM,56,2100,7985,10147,6477,UTC-04:00
07/16/2022 01:00:00 AM,57,2100,7985,10148,6478,UTC-04:00
07/16/2022 01:15:00 AM,58,2100,7986,10147,6486,UTC-04:00
07/16/2022 01:30:00 AM,59,2100,7983,10146,6488,UTC-04:00
07/16/2022 01:45:00 AM,60,2100,7987,10145,6461,UTC-04:00
07/16/2022 02:00:00 AM,61,2100,7983,10145,6433,UTC-04:00
07/16/2022 02:15:00 AM,62,2100,7985,10145,6406,UTC-04:00
07/16/2022 02:30:00 AM,63,2100,7984,10146,6386,UTC-04:00
07/16/2022 02:45:00 AM,64,2100,7985,10146,6373,UTC-04:00
07/16/2022 03:00:00 AM,65,2100,7984,10146,6355,UTC-04:00
07/16/2022 03:15:00 AM,66,2100,7984,10146,6347,UTC-04:00
07/16/2022 03:30:00 AM,67,2100,7983,10146,6336,UTC-04:00
07/16/2022 03:45:00 AM,68,2100,7981,10146,6328,UTC-04:00
07/16/2022 04:00:00 AM,69,2100,7984,10145,6318,UTC-04:00
07/16/2022 04:15:00 AM,70,2100,7984,10144,6305,UTC-04:00
07/16/2022 04:30:00 AM,71,2100,7981,10145,6299,UTC-04:00
07/16/2022 04:45:00 AM,72,2100,7979,10146,6281,UTC-04:00
07/16/2022 05:00:00 AM,73,2100,7982,10145,6262,UTC-04:00
07/16/2022 05:15:00 AM,74,2100,7979,10146,6240,UTC-04:00
07/16/2022 05:30:00 AM,75,2100,7981,10146,6235,UTC-04:00
07/16/2022 05:45:00 AM,76,2100,7979,10146,6232,UTC-04:00
07/16/2022 06:00:00 AM,77,2100,7979,10145,6241,UTC-04:00
07/16/2022 06:15:00 AM,78,2100,7978,10145,6257,UTC-04:00
07/16/2022 06:30:00 AM,79,2100,7975,10144,6281,UTC-04:00
07/16/2022 06:45:00 AM,80,2100,7980,10145,6309,UTC-04:00
07/16/2022 07:00:00 AM,81,2100,7979,10146,6348,UTC-04:00
07/16/2022 07:15:00 AM,82,2100,7982,10145,6405,UTC-04:00
07/16/2022 07:30:00 AM,83,2100,7979,10146,6465,UTC-04:00
07/16/2022 07:45:00 AM,84,2100,7982,10146,6525,UTC-04:00
07/16/2022 08:00:00 AM,85,2100,7986,10145,6590,UTC-04:00
07/16/2022 08:15:00 AM,86,2100,7985,10145,6652,UTC-04:00
07/16/2022 08:30:00 AM,87,2100,7988,10144,6713,UTC-04:00
07/16/2022 08:45:00 AM,88,2100,7988,10142,6766,UTC-04:00
07/16/2022 09:00:00 AM,89,2100,7992,10142,6832,UTC-04:00
07/16/2022 09:15:00 AM,90,2100,7994,10139,6880,UTC-04:00
07/16/2022 09:30:00 AM,91,2100,8000,10138,6929,UTC-04:00
07/16/2022 09:45:00 AM,92,2100,7999,10137,6980,UTC-04:00
07/16/2022 10:00:00 AM,93,2100,8005,10135,7041,UTC-04:00
07/16/2022 10:15:00 AM,94,2100,8007,10134,7111,UTC-04:00
07/16/2022 10:30:00 AM,95,2100,8009,10133,7185,UTC-04:00
07/16/2022 10:45:00 AM,96,2100,8014,10132,7271,UTC-04:00
07/16/2022 11:00:00 AM,97,2100,8017,10130,7358,UTC-04:00
07/16/2022 11:15:00 AM,98,2100,8020,10129,7441,UTC-04:00
07/16/2022 11:30:00 AM,99,2100,8025,10128,7549,UTC-04:00
07/16/2022 11:45:00 AM,100,2100,8039,10126,7685,UTC-04:00
07/16/2022 12:00:00 PM,101,2100,8045,10125,7820,UTC-04:00
07/16/2022 12:15:00 PM,102,2100,8058,10124,7945,UTC-04:00
07/16/2022 12:30:00 PM,103,2100,8065,10122,8128,UTC-04:00
07/16/2022 12:45:00 PM,104,2100,8070,10120,8265,UTC-04:00
07/16/2022 01:00:00 PM,105,2100,8077,10118,8314,UTC-04:00
07/16/2022 01:15:00 PM,106,2100,8086,10116,8413,UTC-04:00
07/16/2022 01:30:00 PM,107,2100,8095,10114,8585,UTC-04:00
07/16/2022 01:45:00 PM,108,2100,8105,10111,8774,UTC-04:00
07/16/2022 02:00:00 PM,109,2100,8106,10110,8922,UTC-04:00
07/16/2022 02:15:00 PM,110,2100,8106,10109,8888,UTC-04:00
07/16/2022 02:30:00 PM,111,2100,8096,10108,8760,UTC-04:00
07/16/2022 02:45:00 PM,112,2100,8099,10108,8520,UTC-04:00
07/16/2022 03:00:00 PM,113,2100,8112,10106,8509,UTC-04:00
07/16/2022 03:15:00 PM,114,2100,8113,10105,8647,UTC-04:00
07/16/2022 03:30:00 PM,115,2100,8121,10103,8697,UTC-04:00
07/16/2022 03:45:00 PM,116,2100,8118,10101,8741,UTC-04:00
07/16/2022 04:00:00 PM,117,2100,8110,10101,8558,UTC-04:00
07/16/2022 04:15:00 PM,118,2100,8108,10099,8325,UTC-04:00
07/16/2022 04:30:00 PM,119,2100,8104,10097,8185,UTC-04:00
07/16/2022 04:45:00 PM,120,2100,8099,10095,8079,UTC-04:00
07/16/2022 05:00:00 PM,121,2100,8096,10094,7984,UTC-04:00
07/16/2022 05:15:00 PM,122,2100,8104,10091,7947,UTC-04:00
07/16/2022 05:30:00 PM,123,2100,8108,10088,8075,UTC-04:00
07/16/2022 05:45:00 PM,124,2100,8115,10086,8228,UTC-04:00
07/16/2022 06:00:00 PM,125,2100,8116,10084,8234,UTC-04:00
07/16/2022 06:15:00 PM,126,2100,8117,10083,8168,UTC-04:00
07/16/2022 06:30:00 PM,127,2100,8115,10082,8185,UTC-04:00
07/16/2022 06:45:00 PM,128,2100,8112,10082,8090,UTC-04:00
07/16/2022 07:00:00 PM,129,2100,8110,10082,8031,UTC-04:00
07/16/2022 07:15:00 PM,130,2100,8108,10083,7972,UTC-04:00
07/16/2022 07:30:00 PM,131,2100,8105,10084,7884,UTC-04:00
07/16/2022 07:45:00 PM,132,2100,8102,10084,7756,UTC-04:00
07/16/2022 08:00:00 PM,133,2100,8098,10085,7611,UTC-04:00
07/16/2022 08:15:00 PM,134,2100,8098,10085,7494,UTC-04:00
07/16/2022 08:30:00 PM,135,2100,8095,10087,7392,UTC-04:00
07/16/2022 08:45:00 PM,136,2100,8094,10088,7292,UTC-04:00
07/16/2022 09:00:00 PM,137,2100,8092,10090,7210,UTC-04:00
07/16/2022 09:15:00 PM,138,2100,8091,10093,7147,UTC-04:00
07/16/2022 09:30:00 PM,139,2100,8088,10095,7103,UTC-04:00
07/16/2022 09:45:00 PM,140,2100,8086,10097,7056,UTC-04:00
07/16/2022 10:00:00 PM,141,2100,8085,10100,7003,UTC-04:00
07/16/2022 10:15:00 PM,142,2100,8083,10101,6956,UTC-04:00
07/16/2022 10:30:00 PM,143,2100,8082,10102,6910,UTC-04:00
