z6-14353,,Port7,Port7,Port8,Port8, 
# Records: 287,,Battery,Battery,Barometer,Barometer, 
Timestamps,Device RID,raw  Battery Percent,raw  Battery Voltage,raw  Reference Pressure,raw  Logger Temperature,UTC Offset
07/15/2022 03:15:00 PM,2,2096,7767,10147,8074,Not Set
07/15/2022 03:30:00 PM,3,2100,7800,10145,8245,Not Set
07/15/2022 03:45:00 PM,4,2100,7823,10143,8397,Not Set
07/15/2022 12:15:00 PM,5,2100,7842,10141,8546,UTC-04:00
07/15/2022 12:30:00 PM,6,2100,7863,10139,8621,UTC-04:00
07/15/2022 12:45:00 PM,7,2100,7878,10138,8645,UTC-04:00
07/15/2022 01:00:00 PM,8,2100,7893,10138,8691,UTC-04:00
07/15/2022 01:15:00 PM,9,2100,7906,10137,8712,UTC-04:00
07/15/2022 01:30:00 PM,10,2100,7914,10136,8744,UTC-04:00
07/15/2022 01:45:00 PM,11,2100,7923,10136,8767,UTC-04:00
07/15/2022 02:00:00 PM,12,2100,7929,10136,8783,UTC-04:00
07/15/2022 02:15:00 PM,13,2100,7932,10135,8824,UTC-04:00
07/15/2022 02:30:00 PM,14,2100,7935,10134,8803,UTC-04:00
07/15/2022 02:45:00 PM,15,2100,7936,10134,8743,UTC-04:00
07/15/2022 03:00:00 PM,16,2100,7937,10134,8555,UTC-04:00
07/15/2022 03:15:00 PM,17,2100,7934,10133,8436,UTC-04:00
07/15/2022 03:30:00 PM,18,2100,7934,10134,8245,UTC-04:00
07/15/2022 03:45:00 PM,19,2100,7937,10134,8201,UTC-04:00
07/15/2022 04:00:00 PM,20,2100,7934,10134,8195,UTC-04:00
07/15/2022 04:15:00 PM,21,2100,7934,10134,8060,UTC-04:00
07/15/2022 04:30:00 PM,22,2100,7934,10133,7969,UTC-04:00
07/15/2022 04:45:00 PM,23,2100,7934,10133,7919,UTC-04:00
07/15/2022 05:00:00 PM,24,2100,7935,10133,7905,UTC-04:00
07/15/2022 05:15:00 PM,25,2100,7934,10134,7859,UTC-04:00
07/15/2022 05:30:00 PM,26,2100,7936,10132,7778,UTC-04:00
07/15/2022 05:45:00 PM,27,2100,7938,10131,7755,UTC-04:00
07/15/2022 06:00:00 PM,28,2100,7939,10131,7791,UTC-04:00
07/15/2022 06:15:00 PM,29,2100,7939,10132,7762,UTC-04:00
